x,Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,Value in hundreds of million US dollars for Belgium and Luxembourg's imports,4.3,4.3,4.6,5.1,5.4,5.9,6.5,7.1,6.3,7.0,7.9,8.5,9.0,9.0,0,0,0,0,0,0,0,7.6,7.2,6.9,8.2,8.5,7.5,8.1,8.9,9.9,8.6,6.6,4.5,5.3,6.4,6.2,7.2,9.3,7.7,0,0,0,0,0,0,0,0,0,19.8,0,19.4,25.3,24.4,24.1,25.4,28.3,32.7,34.3,31.3,34.4,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z,Total population in Belgium in hundreds of thousands,67,68,69,70,71,72,73,73,74,75,75,75,76,77,77,78,78,77,77,76,76,75,76,76,77,78,78,79,80,80,81,81,82,82,83,83,83,84,84,84,84,83,83,82,83,83,84,85,86,86,86,87,87,88,88,89,89,90,91,91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,Belgium's National Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,Rate of unemployed women between age 25 and 49 in France (%),3.68,4.1,4.43,4.45,4.75,5.13,5.95,6.3,6.4,7.15,7.8,8.3,9.1,9.25,9.1,8.73,8.78,9.6,10.15,10.83,10.43,10.8,10.88,10.75,10.48,9.28,8.53,8.1,8.65,8.85,8.83,8.45,7.6,7.03,8.2,8.35,8.58,8.93,9.18,9.23,9.15,9.05,8.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z,Rate of unemployed men and women from age 15 in France (%),3.3,3.63,4.1,4.28,4.78,5.1,6.03,6.58,6.88,8.05,8.53,8.6,8.73,8.4,7.85,7.63,7.8,8.65,9.65,10.25,9.68,10.13,10.3,9.88,9.58,8.18,7.4,7.53,8.13,8.5,8.5,8.45,7.65,7.08,8.73,8.88,8.83,9.4,9.93,9.93,10.03,9.75,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,unemployment rates in France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Year,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,,,,,,,,,,,,,,,,,,,,,,,,,
